Frequency,MTF,NPS,NPSFit,DQE
0.22438,0.897797,0.096668,0.101131,0.712656
0.224919,0.897645,0.102511,0.101252,0.711558
0.225458,0.897492,0.100957,0.101336,0.710729
0.225998,0.897339,0.102969,0.101374,0.710219
0.226537,0.897186,0.099892,0.10136,0.710078
0.227077,0.897032,0.103008,0.101288,0.710338
0.227616,0.896878,0.09737,0.101164,0.710962
0.228155,0.896724,0.098341,0.100995,0.711908
0.228695,0.89657,0.101427,0.100787,0.713132
0.229234,0.896415,0.097853,0.100547,0.714589
0.229773,0.89626,0.104978,0.100281,0.716235
0.230313,0.896104,0.102324,0.099997,0.718024
0.230852,0.895949,0.097659,0.0997,0.719912
0.231392,0.895793,0.094297,0.099397,0.721853
0.231931,0.895637,0.104347,0.099095,0.723797
0.23247,0.89548,0.102946,0.098801,0.725697
0.23301,0.895323,0.0988,0.098522,0.727503
0.233549,0.895166,0.098213,0.098263,0.729163
0.234088,0.895009,0.100527,0.098031,0.730627
0.234628,0.894851,0.093525,0.097834,0.731843
0.235167,0.894693,0.096046,0.097678,0.732756
0.235707,0.894535,0.092637,0.097567,0.733325
0.236246,0.894376,0.099073,0.097502,0.733557
0.236785,0.894218,0.100708,0.097478,0.733477
0.237325,0.894059,0.100982,0.097492,0.733112
0.237864,0.893899,0.097665,0.09754,0.732489
0.238403,0.89374,0.098256,0.097619,0.731637
0.238943,0.89358,0.095636,0.097725,0.730583
0.239482,0.89342,0.101022,0.097854,0.729356
0.240022,0.893259,0.095168,0.098003,0.727983
0.240561,0.893098,0.09588,0.098169,0.726493
0.2411,0.892937,0.096859,0.098347,0.724913
0.24164,0.892776,0.097967,0.098535,0.723271
0.242179,0.892614,0.09726,0.098728,0.721593
0.242718,0.892452,0.10205,0.098924,0.719907
0.243258,0.89229,0.098095,0.099118,0.718237
0.243797,0.892128,0.09839,0.099307,0.716609
0.244337,0.891965,0.09573,0.099487,0.71505
0.244876,0.891802,0.098321,0.099657,0.713572
0.245415,0.891639,0.101895,0.099815,0.712175
0.245955,0.891475,0.106728,0.099964,0.710859
0.246494,0.891311,0.097226,0.100101,0.709623
0.247033,0.891147,0.099749,0.100228,0.708465
0.247573,0.890983,0.106837,0.100343,0.707386
0.248112,0.890818,0.099515,0.100449,0.706385
0.248652,0.890653,0.097073,0.100543,0.70546
0.249191,0.890488,0.099831,0.100626,0.704613
0.24973,0.890322,0.10265,0.100699,0.703842
0.25027,0.890156,0.102898,0.100761,0.703146
0.250809,0.88999,0.100534,0.100813,0.702526
0.251348,0.889824,0.100123,0.100853,0.701982
0.251888,0.889657,0.098488,0.100883,0.701512
0.252427,0.88949,0.102614,0.100902,0.701117
0.252967,0.889323,0.102361,0.10091,0.700796
0.253506,0.889156,0.1006,0.100908,0.70055
0.254045,0.888988,0.100605,0.100895,0.700373
0.254585,0.88882,0.098213,0.100873,0.700258
0.255124,0.888652,0.100628,0.100844,0.700198
0.255663,0.888483,0.099121,0.100807,0.700186
0.256203,0.888315,0.101717,0.100765,0.700215
0.256742,0.888146,0.09726,0.100718,0.700276
0.257282,0.887976,0.097618,0.100667,0.700364
0.257821,0.887807,0.10224,0.100613,0.700471
0.25836,0.887637,0.100317,0.100557,0.700589
0.2589,0.887466,0.104704,0.100501,0.700712
0.259439,0.887296,0.101157,0.100445,0.700832
0.259978,0.887125,0.103228,0.100391,0.700942
0.260518,0.886954,0.102635,0.100339,0.701033
0.261057,0.886783,0.099186,0.100291,0.701101
0.261597,0.886612,0.102932,0.100247,0.701135
0.262136,0.88644,0.097668,0.100209,0.70113
0.262675,0.886268,0.098725,0.100177,0.701079
0.263215,0.886096,0.097592,0.100153,0.700981
0.263754,0.885923,0.100871,0.100134,0.70084
0.264293,0.88575,0.102769,0.10012,0.700662
0.264833,0.885577,0.099811,0.100111,0.70045
0.265372,0.885404,0.101965,0.100106,0.700209
0.265912,0.88523,0.101668,0.100105,0.699944
0.266451,0.885056,0.100576,0.100106,0.69966
0.26699,0.884882,0.094463,0.10011,0.699359
0.26753,0.884707,0.098026,0.100115,0.699049
0.268069,0.884533,0.098732,0.100121,0.698732
0.268608,0.884358,0.097738,0.100127,0.698413
0.269148,0.884182,0.099936,0.100133,0.698096
0.269687,0.884007,0.103707,0.100137,0.697787
0.270227,0.883831,0.099967,0.10014,0.69749
0.270766,0.883655,0.100755,0.100141,0.697208
0.271305,0.883479,0.09938,0.100138,0.696947
0.271845,0.883302,0.103101,0.100132,0.696711
0.272384,0.883125,0.10186,0.100122,0.6965
0.272923,0.882949,0.100811,0.100109,0.696311
0.273463,0.882771,0.099344,0.100094,0.696137
0.274002,0.882594,0.096938,0.100077,0.695975
0.274542,0.882416,0.096576,0.100059,0.695818
0.275081,0.882237,0.102799,0.100041,0.695662
0.27562,0.882059,0.098818,0.100024,0.695502
0.27616,0.881881,0.100617,0.100008,0.695332
0.276699,0.881702,0.099539,0.099994,0.695148
0.277238,0.881522,0.095351,0.099982,0.694944
0.277778,0.881343,0.105303,0.099974,0.694717
0.278317,0.881163,0.103677,0.099971,0.694459
0.278857,0.880983,0.100898,0.099972,0.694167
0.279396,0.880803,0.098838,0.099979,0.693835
0.279935,0.880623,0.099529,0.099992,0.693459
0.280475,0.880442,0.098342,0.100013,0.693033
0.281014,0.880261,0.102925,0.100041,0.692552
0.281553,0.88008,0.105684,0.100078,0.692013
0.282093,0.879898,0.100466,0.100122,0.691422
0.282632,0.879716,0.096541,0.100173,0.690786
0.283172,0.879535,0.104355,0.100228,0.690117
0.283711,0.879352,0.097432,0.100287,0.689424
0.28425,0.87917,0.100024,0.100349,0.688716
0.28479,0.878987,0.099198,0.100411,0.688003
0.285329,0.878804,0.097393,0.100473,0.687294
0.285868,0.878621,0.098482,0.100533,0.686599
0.286408,0.878437,0.100133,0.100589,0.685927
0.286947,0.878253,0.09806,0.100641,0.685287
0.287487,0.878069,0.09979,0.100687,0.684688
0.288026,0.877885,0.09985,0.100725,0.68414
0.288565,0.8777,0.103401,0.100754,0.683652
0.289105,0.877516,0.103007,0.100774,0.683233
0.289644,0.87733,0.097717,0.100782,0.682891
0.290183,0.877145,0.102839,0.100777,0.682638
0.290723,0.87696,0.099515,0.100757,0.68248
0.291262,0.876774,0.101535,0.100723,0.682426
0.291802,0.876588,0.0988,0.100674,0.682467
0.292341,0.876402,0.09986,0.100613,0.68259
0.29288,0.876215,0.099826,0.100542,0.682782
0.29342,0.876028,0.100025,0.100462,0.68303
0.293959,0.875841,0.101317,0.100377,0.68332
0.294498,0.875653,0.099105,0.100287,0.683641
0.295038,0.875466,0.104185,0.100195,0.683977
0.295577,0.875278,0.102853,0.100102,0.684317
0.296117,0.87509,0.10073,0.100011,0.684645
0.296656,0.874902,0.099079,0.099923,0.68495
0.297195,0.874713,0.104956,0.099841,0.685217
0.297735,0.874524,0.099419,0.099767,0.685432
0.298274,0.874335,0.102073,0.099702,0.685583
0.298813,0.874146,0.097953,0.099648,0.685655
0.299353,0.873956,0.102442,0.099608,0.685635
0.299892,0.873767,0.099751,0.099583,0.685509
0.300431,0.873577,0.101279,0.099575,0.685263
0.300971,0.873386,0.096046,0.099587,0.684886
0.30151,0.873196,0.095838,0.099616,0.684382
0.30205,0.873005,0.09767,0.099663,0.683765
0.302589,0.872814,0.099817,0.099724,0.68305
0.303128,0.872623,0.09557,0.099797,0.68225
0.303668,0.872431,0.097411,0.09988,0.681379
0.304207,0.872239,0.100627,0.099972,0.680453
0.304747,0.872047,0.097836,0.100071,0.679485
0.305286,0.871855,0.102791,0.100174,0.678488
0.305825,0.871662,0.097407,0.100279,0.677477
0.306365,0.871469,0.102048,0.100384,0.676465
0.306904,0.871276,0.10006,0.100488,0.675466
0.307443,0.871083,0.098559,0.100588,0.674493
0.307983,0.87089,0.10556,0.100683,0.67356
0.308522,0.870696,0.10001,0.10077,0.67268
0.309061,0.870502,0.098438,0.100847,0.671865
0.309601,0.870308,0.109655,0.100913,0.67113
0.31014,0.870113,0.104175,0.100965,0.670486
0.31068,0.869918,0.098903,0.101001,0.669947
0.311219,0.869723,0.103734,0.10102,0.669518
0.311758,0.869528,0.101952,0.101024,0.66919
0.312298,0.869333,0.100271,0.101015,0.668951
0.312837,0.869137,0.099696,0.100994,0.66879
0.313376,0.868941,0.102975,0.100962,0.668695
0.313916,0.868745,0.100582,0.100923,0.668656
0.314455,0.868548,0.103153,0.100877,0.668659
0.314995,0.868352,0.103717,0.100826,0.668695
0.315534,0.868155,0.095828,0.100771,0.668751
0.316073,0.867958,0.095398,0.100716,0.668815
0.316613,0.86776,0.093319,0.100661,0.668877
0.317152,0.867563,0.098503,0.100608,0.668926
0.317691,0.867365,0.100722,0.100558,0.668948
0.318231,0.867167,0.099547,0.100515,0.668934
0.31877,0.866968,0.097323,0.100478,0.66887
0.31931,0.86677,0.105681,0.100451,0.668746
0.319849,0.866571,0.102967,0.100434,0.66855
0.320388,0.866372,0.099589,0.10043,0.66827
0.320928,0.866172,0.102765,0.10044,0.667896
0.321467,0.865973,0.102048,0.100465,0.667424
0.322006,0.865773,0.09944,0.100503,0.666863
0.322546,0.865573,0.100641,0.100553,0.666223
0.323085,0.865373,0.097539,0.100614,0.665513
0.323625,0.865172,0.104324,0.100684,0.664742
0.324164,0.864972,0.10015,0.100761,0.663921
0.324703,0.864771,0.102273,0.100846,0.663058
0.325243,0.864569,0.102486,0.100935,0.662163
